dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.023296,2.322005,0.000895,0.017895,0.178947,1.789469,6.283110
0.100000,0.024662,2.322005,0.002260,0.013657,-0.042376,-2.213226,0.000051
0.100000,0.032529,2.322007,0.010128,0.078672,0.650151,6.925266,0.000336
0.100000,0.046511,2.322015,0.024110,0.139823,0.611506,-0.386451,0.000849
0.100000,0.068349,2.322042,0.045947,0.218373,0.785505,1.739988,0.001666
0.100000,0.099773,2.322114,0.077372,0.314243,0.958700,1.731956,0.002876
0.100000,0.142504,2.322273,0.120103,0.427313,1.130701,1.720007,0.004584
0.100000,0.197374,2.322587,0.174974,0.548713,1.213993,0.832922,0.006887
0.100000,0.264331,2.323147,0.241933,0.669592,1.208796,-0.051972,0.009865
0.100000,0.343309,2.324072,0.320917,0.789834,1.202416,-0.063796,0.013615
0.100000,0.434230,2.325519,0.411849,0.909318,1.194842,-0.075745,0.018254
0.100000,0.536999,2.327682,0.514641,1.027924,1.186056,-0.087861,0.023917
0.100000,0.651509,2.330808,0.629194,1.145528,1.176042,-0.100139,0.030758
0.100000,0.777634,2.335198,0.755395,1.262007,1.164788,-0.112534,0.038950
0.100000,0.915225,2.341221,0.893118,1.377237,1.152299,-0.124897,0.048685
0.100000,1.064115,2.349321,1.042228,1.491096,1.138594,-0.137046,0.060175
0.100000,1.224104,2.360027,1.202575,1.603470,1.123737,-0.148571,0.073647
0.100000,1.394962,2.373962,1.374000,1.714255,1.107853,-0.158840,0.089345
0.100000,1.576419,2.391859,1.556337,1.823371,1.091162,-0.166911,0.107526
0.100000,1.768157,2.414559,1.749415,1.930774,1.074025,-0.171372,0.128454
0.100000,1.969804,2.443030,1.953062,2.036473,1.056993,-0.170318,0.152389
0.100000,2.180925,2.478361,2.167118,2.140560,1.040873,-0.161202,0.179579
0.100000,2.401009,2.521767,2.391442,2.243238,1.026777,-0.140956,0.210240
0.100000,2.629468,2.574586,2.625927,2.344854,1.016160,-0.106175,0.244536
0.100000,2.872145,2.639890,2.877238,2.513103,1.682491,6.663311,0.270702
0.100000,3.154177,2.714058,3.168859,2.916210,4.031066,23.485749,0.254274
0.100000,3.400885,2.783409,3.425129,2.562702,-3.535073,-75.661391,0.307333
0.100000,3.602236,2.859909,3.640522,2.153934,-4.087682,-5.526084,0.435488
0.100000,3.784357,2.961953,3.849283,2.087607,-0.663268,34.244140,0.578076
0.100000,3.941691,3.083460,4.048074,1.987912,-0.996952,-3.336844,0.748150
0.100000,4.057363,3.214794,4.223085,1.750111,-2.378013,-13.810609,0.958805
0.100000,4.136287,3.359844,4.388217,1.651317,-0.987941,13.900718,1.184973
0.100000,4.185439,3.531336,4.566613,1.783964,1.326472,23.144131,1.387407
0.100000,4.205706,3.734631,4.770916,2.043030,2.590660,12.641887,1.543977
0.100000,4.198160,3.962431,4.998841,2.279246,2.362162,-2.284987,1.655435
0.100000,4.167696,4.204022,5.242345,2.435043,1.557970,-8.041918,1.731350
0.100000,4.120908,4.450898,5.493616,2.512704,0.776604,-7.813661,1.780951
0.100000,4.086662,4.588886,5.635790,1.421742,-10.909612,-116.862161,1.975678
0.100000,4.068869,4.617120,5.669162,0.333728,-10.880147,0.294655,2.324178
0.100000,4.020556,4.653055,5.729375,0.602122,2.683944,135.640911,2.612111
0.100000,3.908830,4.704008,5.852170,1.227953,6.258311,35.743664,2.784559
0.100000,3.749952,4.754373,6.018840,1.666704,4.387509,-18.708015,2.870383
0.100000,3.564714,4.802202,6.210154,1.913135,2.464306,-19.232034,2.899091
0.100000,3.364727,4.852439,6.416354,2.061997,1.488626,-9.756803,2.885633
0.100000,3.155516,4.912214,6.633937,2.175830,1.138332,-3.502933,2.835358
0.100000,2.940411,4.989978,6.862666,2.287297,1.114669,-0.236630,2.748588
0.100000,2.724428,5.094927,7.102798,2.401317,1.140194,0.255250,2.624879
0.100000,2.518349,5.233718,7.351256,2.484576,0.832596,-3.075988,2.468938
0.100000,2.339059,5.403480,7.598165,2.469097,-0.154799,-9.873944,2.296020
0.100000,2.200931,5.588389,7.828970,2.308046,-1.610508,-14.557090,2.128667
0.100000,2.106108,5.768208,8.032258,2.032884,-2.751617,-11.411094,1.984521
0.100000,2.046274,5.929330,8.204131,1.718724,-3.141600,-3.899822,1.869560
0.100000,2.010599,6.066644,8.346003,1.418726,-2.999976,1.416235,1.781558
0.100000,1.990301,6.179894,8.461058,1.150548,-2.681784,3.181924,1.715581
0.100000,1.979357,6.270523,8.552346,0.912876,-2.376718,3.050654,1.666915
0.100000,1.973879,6.340197,8.622234,0.698886,-2.139901,2.368173,1.631909
0.100000,1.971384,6.391241,8.673340,0.511055,-1.878316,2.615850,1.607547
0.100000,1.970369,6.426814,8.708927,0.355871,-1.551836,3.264796,1.591194
0.100000,1.970017,6.449998,8.732114,0.231866,-1.240049,3.117870,1.580807
0.100000,1.969921,6.463593,8.745709,0.135956,-0.959100,2.809498,1.574814
0.100000,1.969904,6.470235,8.752352,0.066426,-0.695304,2.637958,1.571912
0.100000,1.969903,6.472470,8.754586,0.022344,-0.440818,2.544857,1.570939
0.100000,1.969903,6.472798,8.754915,0.003286,-0.190574,2.502443,1.570796
0.100000,1.969903,6.472798,8.754915,0.000000,-0.032865,1.577092,1.570796
