dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.023247,1.672005,0.000895,0.017895,0.178947,1.789469,6.283110
0.100000,0.024695,1.672005,0.004474,0.053684,0.357894,1.789469,0.000051
0.100000,0.032748,1.672007,0.012526,0.107368,0.536841,1.789469,0.000336
0.100000,0.047063,1.672015,0.026842,0.178947,0.715788,1.789469,0.000849
0.100000,0.069432,1.672043,0.049210,0.268420,0.894735,1.789469,0.001666
0.100000,0.101642,1.672116,0.081421,0.375789,1.073682,1.789469,0.002876
0.100000,0.145484,1.672280,0.125263,0.501051,1.252629,1.789469,0.004584
0.100000,0.201851,1.672602,0.181631,0.626314,1.252629,0.000000,0.006887
0.100000,0.270743,1.673178,0.250526,0.751577,1.252629,0.000000,0.009865
0.100000,0.352158,1.674133,0.331947,0.876840,1.252629,0.000000,0.013615
0.100000,0.446094,1.675627,0.425894,1.002103,1.252629,-0.000000,0.018254
0.100000,0.552543,1.677868,0.532367,1.127366,1.252629,0.000000,0.023917
0.100000,0.671499,1.681115,0.651367,1.252629,1.252629,0.000000,0.030758
0.100000,0.802945,1.685691,0.782893,1.377891,1.252629,0.000000,0.038950
0.100000,0.946858,1.691992,0.926945,1.503154,1.252629,0.000000,0.048685
0.100000,1.103205,1.700498,1.083524,1.628417,1.252629,0.000000,0.060175
0.100000,1.271931,1.711788,1.252629,1.753680,1.252629,0.000000,0.073647
0.100000,1.452959,1.726555,1.434260,1.878943,1.252629,-0.000000,0.089345
0.100000,1.646176,1.745613,1.628417,2.004206,1.252629,0.000000,0.107526
0.100000,1.851423,1.769915,1.835101,2.129469,1.252629,0.000000,0.128454
0.100000,2.068474,1.800563,2.054311,2.254731,1.252629,0.000000,0.152389
0.100000,2.297025,1.838813,2.286047,2.379994,1.252629,0.000000,0.179579
0.100000,2.536661,1.886080,2.530310,2.505257,1.252629,0.000000,0.210240
0.100000,2.786837,1.943924,2.787099,2.630520,1.252629,0.000000,0.244536
0.100000,3.045961,2.013561,3.056414,2.755783,1.252629,0.000000,0.270702
0.100000,3.317680,2.084958,3.337360,2.863151,1.073682,-1.789469,0.254274
0.100000,3.597521,2.163866,3.628149,2.952625,0.894735,-1.789469,0.307333
0.100000,3.876440,2.270577,3.926991,3.024203,0.715788,-1.789469,0.435488
0.100000,4.139526,2.417568,4.232095,3.077887,0.536841,-1.789469,0.578076
0.100000,4.383875,2.607044,4.541673,3.113677,0.357894,-1.789469,0.748150
0.100000,4.589392,2.841370,4.853936,3.131571,0.178947,-1.789469,0.958805
0.100000,4.738505,3.115235,5.166434,3.118386,-0.131858,-3.108053,1.184973
0.100000,4.824539,3.412800,5.476718,3.087305,-0.310805,-1.789469,1.387407
0.100000,4.855472,3.717201,5.783000,3.038330,-0.489752,-1.789469,1.543977
0.100000,4.845833,4.017380,6.083489,2.971460,-0.668699,-1.789469,1.655435
0.100000,4.809336,4.307935,6.376397,2.886695,-0.847646,-1.789469,1.731350
0.100000,4.756607,4.586495,6.659934,2.784036,-1.026593,-1.789469,1.780951
0.100000,4.684109,4.844927,6.932310,2.663482,-1.205540,-1.789469,1.975678
0.100000,4.542965,5.061791,7.192395,2.538219,-1.252629,-0.470886,2.324178
0.100000,4.348862,5.214050,7.439954,2.412956,-1.252629,0.000000,2.612111
0.100000,4.136003,5.313017,7.674986,2.287694,-1.252629,0.000000,2.784559
0.100000,3.924085,5.380614,7.897492,2.162431,-1.252629,-0.000000,2.870383
0.100000,3.720799,5.433183,8.107472,2.037168,-1.252629,0.000000,2.899091
0.100000,3.529290,5.481263,8.304926,1.911905,-1.252629,-0.000000,2.885633
0.100000,3.351472,5.531973,8.489853,1.786642,-1.252629,0.000000,2.835358
0.100000,3.189339,5.590424,8.662254,1.661379,-1.252629,0.000000,2.748588
0.100000,3.045544,5.660068,8.822129,1.536116,-1.252629,-0.000000,2.624879
0.100000,2.923342,5.742129,8.969477,1.410853,-1.252629,0.000000,2.468938
0.100000,2.825487,5.834627,9.104300,1.285591,-1.252629,0.000000,2.296020
0.100000,2.752380,5.932487,9.226596,1.160328,-1.252629,0.000000,2.128667
0.100000,2.701267,6.029523,9.336365,1.035065,-1.252629,0.000000,1.984521
0.100000,2.667480,6.120650,9.433609,0.909802,-1.252629,-0.000000,1.869560
0.100000,2.646216,6.202627,9.518326,0.784539,-1.252629,0.000000,1.781558
0.100000,2.633500,6.273675,9.590516,0.659276,-1.252629,0.000000,1.715581
0.100000,2.626356,6.332904,9.650181,0.534013,-1.252629,0.000000,1.666915
0.100000,2.622666,6.379895,9.697319,0.408751,-1.252629,-0.000000,1.631909
0.100000,2.620945,6.415124,9.732590,0.296674,-1.120770,1.318583,1.607547
0.100000,2.620234,6.440071,9.757549,0.202491,-0.941823,1.789469,1.591194
0.100000,2.619984,6.456504,9.773983,0.126204,-0.762876,1.789469,1.580807
0.100000,2.619916,6.466204,9.783684,0.067811,-0.583929,1.789469,1.574814
0.100000,2.619904,6.470960,9.788440,0.027312,-0.404983,1.789469,1.571912
0.100000,2.619903,6.472563,9.790041,0.004709,-0.226036,1.789469,1.570939
0.100000,2.619903,6.472798,9.790277,0.000000,-0.047089,1.789469,1.570796
0.100000,2.619903,6.472798,9.790277,0.000000,0.000000,0.470886,1.570796
