dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.023199,1.022005,0.000895,0.017895,0.178947,1.789469,6.283110
0.100000,0.024728,1.022005,0.002424,0.015295,-0.025998,-2.049449,0.000051
0.100000,0.032966,1.022007,0.010662,0.082380,0.670851,6.968487,0.000336
0.100000,0.047615,1.022015,0.025311,0.146492,0.641123,-0.297276,0.000849
0.100000,0.070515,1.022044,0.048211,0.228994,0.825018,1.838950,0.001666
0.100000,0.103511,1.022119,0.081207,0.329966,1.009715,1.846971,0.002876
0.100000,0.148464,1.022286,0.126160,0.449527,1.195610,1.858945,0.004584
0.100000,0.206328,1.022618,0.184025,0.578653,1.291261,0.956516,0.006887
0.100000,0.277155,1.023210,0.254855,0.708299,1.296460,0.051986,0.009865
0.100000,0.361008,1.024193,0.338713,0.838582,1.302836,0.063764,0.013615
0.100000,0.457958,1.025735,0.435676,0.969623,1.310408,0.075715,0.018254
0.100000,0.568088,1.028054,0.545830,1.101542,1.319190,0.087824,0.023917
0.100000,0.691488,1.031423,0.669276,1.234462,1.329198,0.100079,0.030758
0.100000,0.828256,1.036184,0.806127,1.368506,1.340441,0.112425,0.038950
0.100000,0.978491,1.042762,0.956506,1.503798,1.352918,0.124779,0.048685
0.100000,1.142295,1.051674,1.120552,1.640458,1.366605,0.136866,0.060175
0.100000,1.319758,1.063550,1.298413,1.778602,1.381437,0.148316,0.073647
0.100000,1.510956,1.079148,1.490246,1.918331,1.397287,0.158504,0.089345
0.100000,1.715934,1.099367,1.696218,2.059724,1.413933,0.166457,0.107526
0.100000,1.934688,1.125270,1.916500,2.202825,1.431013,0.170802,0.128454
0.100000,2.167144,1.158095,2.151263,2.347622,1.447971,0.169585,0.152389
0.100000,2.413125,1.199266,2.400665,2.494023,1.464003,0.160314,0.179579
0.100000,2.672312,1.250392,2.664847,2.641822,1.477994,0.139907,0.210240
0.100000,2.944206,1.313261,2.943914,2.790671,1.488495,0.105011,0.244536
0.100000,3.219776,1.387232,3.229240,2.853255,0.625837,-8.626572,0.270702
0.100000,3.481182,1.455858,3.499504,2.702644,-1.506110,-21.319470,0.254274
0.100000,3.794157,1.544322,3.824741,3.252372,5.497281,70.033904,0.307333
0.100000,4.150644,1.681245,4.206619,3.818779,5.664070,1.667895,0.435488
0.100000,4.494695,1.873183,4.600588,3.939683,1.209033,-44.550376,0.578076
0.100000,4.826060,2.130627,5.020207,4.196189,2.565068,13.560348,0.748150
0.100000,5.121421,2.467946,5.468562,4.483552,2.873622,3.085548,0.958805
0.100000,5.340723,2.870626,5.927086,4.585241,1.016895,-18.567273,1.184973
0.100000,5.463639,3.294264,6.368195,4.411095,-1.741465,-27.583602,1.387407
0.100000,5.505238,3.699770,6.775830,4.076347,-3.347474,-16.060088,1.543977
0.100000,5.493506,4.072330,7.148574,3.727439,-3.489085,-1.416114,1.655435
0.100000,5.450977,4.411847,7.490744,3.421706,-3.057328,4.317577,1.731350
0.100000,5.392306,4.722093,7.806489,3.157448,-2.642576,4.147517,1.780951
0.100000,5.281556,5.100969,8.201220,3.947309,7.898605,105.411806,1.975678
0.100000,5.017062,5.506462,8.685350,4.841303,8.939947,10.413427,2.324178
0.100000,4.677168,5.775045,9.118553,4.332026,-5.092770,-140.327172,2.612111
0.100000,4.363176,5.922027,9.465245,3.466914,-8.651123,-35.583528,2.784559
0.100000,4.098218,6.006855,9.743450,2.782057,-6.848569,18.025535,2.870383
0.100000,3.876885,6.064164,9.972082,2.286319,-4.957386,18.911836,2.899091
0.100000,3.693853,6.110086,10.160787,1.887045,-3.992739,9.646464,2.885633
0.100000,3.547428,6.151732,10.313019,1.522328,-3.647165,3.455742,2.835358
0.100000,3.438267,6.190869,10.428984,1.159646,-3.626827,0.203384,2.748588
0.100000,3.366661,6.225209,10.508399,0.794146,-3.654997,-0.281705,2.624879
0.100000,3.328334,6.250539,10.554340,0.459413,-3.347332,3.076653,2.468938
0.100000,3.311915,6.265774,10.576738,0.223980,-2.354323,9.930085,2.296020
0.100000,3.303830,6.276585,10.590238,0.135000,-0.889801,14.645218,2.128667
0.100000,3.296427,6.290838,10.606298,0.160605,0.256048,11.458497,1.984521
0.100000,3.288685,6.311971,10.628805,0.225062,0.644571,3.885222,1.869560
0.100000,3.281833,6.338610,10.656311,0.275063,0.500009,-1.445617,1.781558
0.100000,3.276699,6.367457,10.685612,0.293006,0.179432,-3.205771,1.715581
0.100000,3.273356,6.395285,10.713640,0.280283,-0.127232,-3.066633,1.666915
0.100000,3.271452,6.419593,10.738022,0.243827,-0.364564,-2.373323,1.631909
0.100000,3.270506,6.439006,10.757458,0.194356,-0.494702,-1.301378,1.607547
0.100000,3.270098,6.453329,10.771787,0.143286,-0.510700,-0.159986,1.591194
0.100000,3.269951,6.463011,10.781470,0.096834,-0.464527,0.461731,1.580807
0.100000,3.269911,6.468815,10.787275,0.058044,-0.387894,0.766328,1.574814
0.100000,3.269903,6.471685,10.790144,0.028698,-0.293466,0.944280,1.571912
0.100000,3.269903,6.472655,10.791115,0.009703,-0.189948,1.035188,1.570939
0.100000,3.269903,6.472798,10.791258,0.001429,-0.082736,1.072113,1.570796
0.100000,3.269903,6.472798,10.791258,0.000000,-0.014293,0.684436,1.570796
